#Masse - Plot 0	Amplitude (V) - Plot 0	scangeschwindigkeit: 3 s/amu druck: 9.4 E -06 ausgangsdruck: 1.0 E -5 mbar
46,8685	-0,0334555	
46,8979	-0,0185318	
46,8979	-0,0185318	
46,9278	-0,0920443	
46,9278	-0,0920443	
46,9572	-0,0317015	
46,9572	-0,0317015	
46,9866	-0,0231538	
46,9866	-0,0231538	
47,0162	0,00254357	
47,0162	0,00254357	
47,0455	-0,000578071	
47,0455	-0,000578071	
47,0764	-0,0525483	
47,0764	-0,0525483	
47,1054	-0,00764145	
47,1054	-0,00764145	
47,1349	-0,00869635	
47,1349	-0,00869635	
47,1645	-0,0300244	
47,1645	-0,0300244	
47,1941	-0,0263044	
47,1941	-0,0263044	
47,2244	0,0570462	
47,2244	0,0570462	
47,2535	-0,000235353	
47,2535	-0,000235353	
47,283	-0,0198733	
47,283	-0,0198733	
47,3126	-0,0278638	
47,3126	-0,0278638	
47,3418	-0,00703591	
47,3418	-0,00703591	
47,3715	-0,0261551	
47,3715	-0,0261551	
47,4013	-0,0223985	
47,4013	-0,0223985	
47,4303	-0,0152005	
47,4303	-0,0152005	
47,4604	-0,00914504	
47,4604	-0,00914504	
47,4896	-0,0112643	
47,4896	-0,0112643	
47,5191	-0,0175486	
47,5191	-0,0175486	
47,5479	-0,0227132	
47,5479	-0,0227132	
47,5782	-0,0146214	
47,5782	-0,0146214	
47,6077	-0,013978	
47,6077	-0,013978	
47,6376	-0,0397953	
47,6376	-0,0397953	
47,667	-0,0193196	
47,667	-0,0193196	
47,6967	-0,0569609	
47,6967	-0,0569609	
47,726	0,0034377	
47,726	0,0034377	
47,7561	0,0298981	
47,7561	0,0298981	
47,7851	-0,0291437	
47,7851	-0,0291437	
47,8147	-0,0315407	
47,8147	-0,0315407	
47,8447	-0,0278015	
47,8447	-0,0278015	
47,8736	-0,014292	
47,8736	-0,014292	
47,9033	-0,00797765	
47,9033	-0,00797765	
47,9326	-0,00366579	
47,9326	-0,00366579	
47,9619	-0,0240345	
47,9619	-0,0240345	
47,9921	-0,00257438	
47,9921	-0,00257438	
48,0216	-0,0222707	
48,0216	-0,0222707	
48,0511	0,013308	
48,0511	0,013308	
48,0803	-0,00423417	
48,0803	-0,00423417	
48,1096	-0,00839896	
48,1096	-0,00839896	
48,1396	-0,0199568	
48,1396	-0,0199568	
48,1692	-0,0173077	
48,1692	-0,0173077	
48,1983	-0,0540369	
48,1983	-0,0540369	
48,2279	0,0104763	
48,2279	0,0104763	
48,258	-0,0161214	
48,258	-0,0161214	
48,2872	-0,0310588	
48,2872	-0,0310588	
48,3165	-0,0113396	
48,3165	-0,0113396	
48,3456	0,00416879	
48,3456	0,00416879	
48,3755	-0,016319	
48,3755	-0,016319	
48,4052	-0,0246212	
48,4052	-0,0246212	
48,4345	-0,0473475	
48,4345	-0,0473475	
48,4641	-0,017411	
48,4641	-0,017411	
48,494	-0,0460582	
48,494	-0,0460582	
48,5235	-0,0198169	
48,5235	-0,0198169	
48,5531	0,0131483	
48,5531	0,0131483	
48,5827	-0,00837743	
48,5827	-0,00837743	
48,6122	-0,0152099	
48,6122	-0,0152099	
48,6418	-0,0499327	
48,6418	-0,0499327	
48,671	-0,0124428	
48,671	-0,0124428	
48,7003	-0,0295963	
48,7003	-0,0295963	
48,7303	-0,0104318	
48,7303	-0,0104318	
48,7597	2,2582E-5	
48,7597	2,2582E-5	
48,7893	0,0248692	
48,7893	0,0248692	
48,8192	-0,0205434	
48,8192	-0,0205434	
48,8487	0,0228402	
48,8487	0,0228402	
48,8781	-0,0315287	
48,8781	-0,0315287	
48,9077	-0,0257768	
48,9077	-0,0257768	
48,9367	-0,0183407	
48,9367	-0,0183407	
48,9668	-0,0708966	
48,9668	-0,0708966	
48,9964	-0,00947831	
48,9964	-0,00947831	
49,0255	0,0232348	
49,0255	0,0232348	
49,0556	-0,0214392	
49,0556	-0,0214392	
49,0848	-0,0308817	
49,0848	-0,0308817	
49,1146	-0,0190597	
49,1146	-0,0190597	
49,1438	-0,0380905	
49,1438	-0,0380905	
49,1733	-0,0417293	
49,1733	-0,0417293	
49,203	0,00949217	
49,203	0,00949217	
49,2322	-0,0198192	
49,2322	-0,0198192	
49,2623	0,0152528	
49,2623	0,0152528	
49,2915	-0,0238128	
49,2915	-0,0238128	
49,3212	-0,0216159	
49,3212	-0,0216159	
49,3508	-0,0261844	
49,3508	-0,0261844	
49,381	-0,0257426	
49,381	-0,0257426	
49,4101	-0,0230706	
49,4101	-0,0230706	
49,4394	-0,0244911	
49,4394	-0,0244911	
49,4688	0,00354922	
49,4688	0,00354922	
49,4983	-0,0157353	
49,4983	-0,0157353	
49,5279	-0,0153688	
49,5279	-0,0153688	
49,5572	-0,0106023	
49,5572	-0,0106023	
49,5867	-0,0191996	
49,5867	-0,0191996	
49,6166	-0,00507808	
49,6166	-0,00507808	
49,6459	-0,0195329	
49,6459	-0,0195329	
49,6757	0,00568281	
49,6757	0,00568281	
49,7053	-0,0262545	
49,7053	-0,0262545	
49,7348	0,00300889	
49,7348	0,00300889	
49,7641	-0,0392005	
49,7641	-0,0392005	
49,7939	0,0262077	
49,7939	0,0262077	
49,8232	-0,0358872	
49,8232	-0,0358872	
49,8526	-0,0299445	
49,8526	-0,0299445	
49,8825	-0,0142695	
49,8825	-0,0142695	
49,9119	-0,0241275	
49,9119	-0,0241275	
49,9416	0,00118574	
49,9416	0,00118574	
49,9711	-0,0249922	
49,9711	-0,0249922	
50,0005	-0,0194827	
