#Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw: 10 s/amu druck 1.1 E-5 mbar
41,6629	0,0592283	
41,6924	0,0210891	
41,6924	0,0210891	
41,7217	0,0558266	
41,7217	0,0558266	
41,7519	0,0447879	
41,7519	0,0447879	
41,7813	0,0539196	
41,7813	0,0539196	
41,811	0,0312318	
41,811	0,0312318	
41,8403	0,0224603	
41,8403	0,0224603	
41,8698	-0,00337003	
41,8698	-0,00337003	
41,8995	0,00826836	
41,8995	0,00826836	
41,9293	-0,0119729	
41,9293	-0,0119729	
41,9591	0,0137496	
41,9591	0,0137496	
41,9885	-0,00902994	
41,9885	-0,00902994	
42,0176	-0,00894254	
42,0176	-0,00894254	
42,0472	-0,00178264	
42,0472	-0,00178264	
42,077	-0,0215497	
42,077	-0,0215497	
42,1064	-0,0315737	
42,1064	-0,0315737	
42,1362	-0,0115962	
42,1362	-0,0115962	
42,1651	0,00130998	
42,1651	0,00130998	
42,1945	0,00918662	
42,1945	0,00918662	
42,2243	0,00368357	
42,2243	0,00368357	
42,2538	0,0109935	
42,2538	0,0109935	
42,2832	0,0169051	
42,2832	0,0169051	
42,3132	0,0458382	
42,3132	0,0458382	
42,3427	-0,00655069	
42,3427	-0,00655069	
42,3726	0,0483305	
42,3726	0,0483305	
42,4015	0,0280152	
42,4015	0,0280152	
42,4313	0,00883836	
42,4313	0,00883836	
42,4607	0,0478264	
42,4607	0,0478264	
42,4905	0,0308196	
42,4905	0,0308196	
42,5192	0,0499919	
42,5192	0,0499919	
42,5489	0,0591057	
42,5489	0,0591057	
42,5786	0,048681	
42,5786	0,048681	
42,6081	0,0446131	
42,6081	0,0446131	
42,6377	0,0449275	
42,6377	0,0449275	
42,6675	0,0826056	
42,6675	0,0826056	
42,6974	0,0733098	
42,6974	0,0733098	
42,7266	0,0361182	
42,7266	0,0361182	
42,7568	0,0567315	
42,7568	0,0567315	
42,7858	0,0411119	
42,7858	0,0411119	
42,8153	0,0531038	
42,8153	0,0531038	
42,8449	0,0585827	
42,8449	0,0585827	
42,8743	0,00806358	
42,8743	0,00806358	
42,903	0,0385427	
42,903	0,0385427	
42,933	0,0110946	
42,933	0,0110946	
42,9624	-0,0358497	
42,9624	-0,0358497	
42,9921	0,00938586	
42,9921	0,00938586	
43,0219	-0,000850681	
43,0219	-0,000850681	
43,0519	-0,0220835	
43,0519	-0,0220835	
43,0814	-0,00846809	
43,0814	-0,00846809	
43,1111	0,00385379	
43,1111	0,00385379	
43,1407	-0,00428732	
43,1407	-0,00428732	
43,1698	0,0185796	
43,1698	0,0185796	
43,1999	0,0216047	
43,1999	0,0216047	
43,2287	0,0355883	
43,2287	0,0355883	
43,2585	0,03326	
43,2585	0,03326	
43,2883	0,0356255	
43,2883	0,0356255	
43,3182	0,077067	
43,3182	0,077067	
43,3471	0,0572751	
43,3471	0,0572751	
43,3768	0,055794	
43,3768	0,055794	
43,4066	0,129431	
43,4066	0,129431	
43,4359	0,107033	
43,4359	0,107033	
43,465	0,127412	
43,465	0,127412	
43,4955	0,150887	
43,4955	0,150887	
43,525	0,134834	
43,525	0,134834	
43,5547	0,193289	
43,5547	0,193289	
43,5841	0,171498	
43,5841	0,171498	
43,6134	0,192042	
43,6134	0,192042	
43,6433	0,203799	
43,6433	0,203799	
43,6729	0,202953	
43,6729	0,202953	
43,7024	0,168513	
43,7024	0,168513	
43,7319	0,164254	
43,7319	0,164254	
43,7614	0,137443	
43,7614	0,137443	
43,7911	0,150878	
43,7911	0,150878	
43,8204	0,136655	
43,8204	0,136655	
43,85	0,0938073	
43,85	0,0938073	
43,8798	0,0673235	
43,8798	0,0673235	
43,909	0,0823059	
43,909	0,0823059	
43,9382	0,0646763	
43,9382	0,0646763	
43,9685	0,0199413	
43,9685	0,0199413	
43,9984	-0,0200109	
43,9984	-0,0200109	
44,027	0,0221584	
44,027	0,0221584	
44,0564	-0,0165965	
44,0564	-0,0165965	
44,086	-0,0322056	
44,086	-0,0322056	
44,1165	-0,0370989	
44,1165	-0,0370989	
44,1455	-0,0125047	
44,1455	-0,0125047	
44,1743	0,0225556	
44,1743	0,0225556	
44,2038	-0,00353438	
44,2038	-0,00353438	
44,234	-0,0287426	
44,234	-0,0287426	
44,263	-0,00211753	
44,263	-0,00211753	
44,2925	-0,00417873	
44,2925	-0,00417873	
44,3225	0,0547544	
44,3225	0,0547544	
44,3525	0,0223782	
44,3525	0,0223782	
44,3815	-0,00252025	
44,3815	-0,00252025	
44,4116	0,0468285	
