Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw: 10 s/amu druck 1.2 E -5mbar
37,0265	0,00526966	
37,0566	-0,00261351	
37,0566	-0,00261351	
37,0861	-0,019469	
37,0861	-0,019469	
37,1159	-0,0377517	
37,1159	-0,0377517	
37,146	-0,00669547	
37,146	-0,00669547	
37,175	-0,0127708	
37,175	-0,0127708	
37,2045	-0,0239025	
37,2045	-0,0239025	
37,2342	-0,0106274	
37,2342	-0,0106274	
37,2635	-0,0214669	
37,2635	-0,0214669	
37,293	-8,96265E-7	
37,293	-8,96265E-7	
37,3228	0,00397052	
37,3228	0,00397052	
37,352	-0,00172786	
37,352	-0,00172786	
37,3814	-0,0141515	
37,3814	-0,0141515	
37,4113	-0,0129358	
37,4113	-0,0129358	
37,4409	-0,0364513	
37,4409	-0,0364513	
37,4707	0,0102151	
37,4707	0,0102151	
37,4995	-0,025199	
37,4995	-0,025199	
37,5291	-0,0151757	
37,5291	-0,0151757	
37,5592	-0,0134937	
37,5592	-0,0134937	
37,5887	-0,0145343	
37,5887	-0,0145343	
37,6176	-0,0352229	
37,6176	-0,0352229	
37,6476	-0,00306677	
37,6476	-0,00306677	
37,6771	-0,0250653	
37,6771	-0,0250653	
37,7067	-0,00105481	
37,7067	-0,00105481	
37,7362	-0,0319236	
37,7362	-0,0319236	
37,7662	0,0123001	
37,7662	0,0123001	
37,7951	-0,0166359	
37,7951	-0,0166359	
37,825	-0,0338328	
37,825	-0,0338328	
37,8547	-0,010662	
37,8547	-0,010662	
37,8836	-0,0134132	
37,8836	-0,0134132	
37,9134	0,0142397	
37,9134	0,0142397	
37,9432	0,000789866	
37,9432	0,000789866	
37,9728	-0,0453375	
37,9728	-0,0453375	
38,0026	-0,04953	
38,0026	-0,04953	
38,0321	-0,0143145	
38,0321	-0,0143145	
38,0608	-0,00645743	
38,0608	-0,00645743	
38,0905	-0,0214294	
38,0905	-0,0214294	
38,1205	-0,0226177	
38,1205	-0,0226177	
38,1503	-0,0154395	
38,1503	-0,0154395	
38,1795	0,000106387	
38,1795	0,000106387	
38,2089	0,00201302	
38,2089	0,00201302	
38,2387	-0,022781	
38,2387	-0,022781	
38,2678	-0,00345351	
38,2678	-0,00345351	
38,2978	-0,00794765	
38,2978	-0,00794765	
38,3271	-0,00605341	
38,3271	-0,00605341	
38,3565	-0,0216541	
38,3565	-0,0216541	
38,386	-0,0391526	
38,386	-0,0391526	
38,4158	-0,00455014	
38,4158	-0,00455014	
38,4454	-0,0219062	
38,4454	-0,0219062	
38,4748	-0,0103917	
38,4748	-0,0103917	
38,5047	-0,0197556	
38,5047	-0,0197556	
38,5344	-0,0097682	
38,5344	-0,0097682	
38,5638	-0,0112734	
38,5638	-0,0112734	
38,5933	-0,0166252	
38,5933	-0,0166252	
38,6235	-0,0137031	
38,6235	-0,0137031	
38,6525	-0,0189114	
38,6525	-0,0189114	
38,6821	-0,0136242	
38,6821	-0,0136242	
38,7114	-0,0213218	
38,7114	-0,0213218	
38,7408	0,000116495	
38,7408	0,000116495	
38,771	-0,0190265	
38,771	-0,0190265	
38,8005	-0,0250213	
38,8005	-0,0250213	
38,8298	-0,0177446	
38,8298	-0,0177446	
38,8596	-0,0062171	
38,8596	-0,0062171	
38,889	-0,0446876	
38,889	-0,0446876	
38,9182	0,0317323	
38,9182	0,0317323	
38,9476	-0,0187783	
38,9476	-0,0187783	
38,9772	-0,0283386	
38,9772	-0,0283386	
39,0071	-0,00237351	
39,0071	-0,00237351	
39,0367	-0,0018234	
39,0367	-0,0018234	
39,0659	-0,0026621	
39,0659	-0,0026621	
39,0955	-0,023291	
39,0955	-0,023291	
39,1252	-0,013991	
39,1252	-0,013991	
39,1547	-0,0153802	
39,1547	-0,0153802	
39,184	-0,015448	
39,184	-0,015448	
39,2135	-0,0158015	
39,2135	-0,0158015	
39,2428	-0,0294342	
39,2428	-0,0294342	
39,2722	-0,000319158	
39,2722	-0,000319158	
39,3016	-0,00487199	
39,3016	-0,00487199	
39,3315	-0,0447055	
39,3315	-0,0447055	
39,3611	0,0428281	
39,3611	0,0428281	
39,3904	-0,0187415	
39,3904	-0,0187415	
39,4201	-0,0128765	
39,4201	-0,0128765	
39,4503	-0,0244989	
39,4503	-0,0244989	
39,4795	0,0096976	
39,4795	0,0096976	
39,5086	-0,0160597	
39,5086	-0,0160597	
39,5381	-0,0229979	
39,5381	-0,0229979	
39,5671	-0,0147198	
39,5671	-0,0147198	
39,5973	-0,0289024	
39,5973	-0,0289024	
39,6273	-0,0206354	
39,6273	-0,0206354	
39,6565	0,00189824	
39,6565	0,00189824	
39,6861	-0,0229301	
39,6861	-0,0229301	
39,7159	-0,0298229	
39,7159	-0,0298229	
39,7456	-0,0171463	
39,7456	-0,0171463	
39,7751	0,00597498	
39,7751	0,00597498	
39,8043	-0,00624547	
39,8043	-0,00624547	
39,8343	-0,00157655	
39,8343	-0,00157655	
39,8637	-0,0148033	
39,8637	-0,0148033	
39,893	-0,0132032	
39,893	-0,0132032	
39,923	-0,0372189	
39,923	-0,0372189	
39,9527	0,0168683	
39,9527	0,0168683	
39,9821	0,00664151	
39,9821	0,00664151	
40,0115	-0,0215631	
